First,Second,Sum
0.09267568778,0.5945598358,0.6872355236
0.2194084976,0.6564600015,0.8758684991
0.4600294155,0.4470273401,0.9070567556
0.8423980294,0.2115004396,1.053898469
0.1010686432,0.6837142708,0.784782914
0.1780115366,0.8618805413,1.039892078
0.8852951172,0.1156157398,1.000910857
0.6655037692,0.3997856559,1.065289425
0.145732019,0.6963285858,0.8420606048
0.7240141299,0.780082787,1.504096917
0.2908284848,0.1358516293,0.4266801141
0.6322943303,0.9892599751,1.621554305
0.4793259608,0.262789952,0.7421159128
0.1706261143,0.3806790716,0.5513051858
0.2510166747,0.8303002062,1.081316881
0.1840967558,0.04812815943,0.2322249152
0.7948569431,0.6096310788,1.404488022
0.664865197,0.6090873012,1.273952498
0.04543814221,0.08815453826,0.1335926805
0.8766379367,0.4248101709,1.301448108
0.4873751953,0.5006068606,0.9879820559
0.0481026457,0.793346072,0.8414487177
0.9508779005,0.4652464041,1.416124305
0.03748323946,0.714176478,0.7516597175
0.6648830071,0.1912950114,0.8561780185
0.3647537473,0.09253776412,0.4572915114
0.8390262839,0.16899532,1.008021604
0.07157369814,0.5841931736,0.6557668718
0.3429334844,0.8756450253,1.21857851
0.9050079459,0.9869720387,1.891979985
0.9894387503,0.3349425058,1.324381256
0.4360111474,0.1765081512,0.6125192987
0.1841556557,0.1859069794,0.3700626351
0.4770633581,0.02610271183,0.5031660699
0.5322151231,0.1626494625,0.6948645856
0.8179347817,0.7134554998,1.531390281
0.4769508052,0.796630177,1.273580982
0.07015131818,0.9222210791,0.9923723973
0.3459907008,0.5461231797,0.8921138805
0.7182787354,0.01914993641,0.7374286718
0.7868618818,0.07892881458,0.8657906964
0.1917067118,0.6062894636,0.7979961754
0.5542138914,0.8075637093,1.361777601
0.4693951371,0.3937888432,0.8631839803
0.8596263425,0.05297040979,0.9125967523
0.9403599152,0.0468486962,0.9872086114
0.986318379,0.02311145296,1.009429832
0.695972736,0.1679747185,0.8639474545
0.9066797714,0.5946497993,1.501329571
0.3109969193,0.4737534159,0.7847503353
0.1002797557,0.2154053525,0.3156851082
0.3663761335,0.3078159441,0.6741920776
0.3618864443,0.9666697336,1.328556178
0.3189540422,0.1455602669,0.4645143091
0.899180521,0.3801455995,1.27932612
0.875476479,0.6417592672,1.517235746
0.5625299269,0.2647569101,0.827286837
0.2774843917,0.952713101,1.230197493
0.3167889566,0.9124869155,1.229275872
0.05023902042,0.6365528472,0.6867918676
0.5781050485,0.2964999874,0.8746050359
0.9659533242,0.9582407519,1.924194076
0.395791347,0.5039721382,0.8997634852
0.5757793541,0.1624336338,0.7382129879
0.5872104465,0.7433038575,1.330514304
0.4857902436,0.4435025929,0.9292928365
0.337198826,0.9918476998,1.329046526
0.1022941395,0.3565785043,0.4588726438
0.7858482424,0.1952124781,0.9810607205
0.317045127,0.1485875188,0.4656326458
0.1605836799,0.9599861243,1.120569804
0.2122187532,0.5190538465,0.7312725997
0.7996961376,0.793860335,1.593556473
0.4604674269,0.1752924593,0.6357598862
0.2821823101,0.1142732171,0.3964555271
0.5021584267,0.9569432666,1.459101693
0.9684237415,0.7705701643,1.738993906
0.5783463706,0.4551769745,1.033523345
0.7915350941,0.5852001257,1.37673522
0.2655857805,0.8300290027,1.095614783
0.6718839173,0.1246227292,0.7965066466
0.7319210771,0.77601009,1.507931167
0.5872160331,0.3465339735,0.9337500066
0.649992184,0.3453473332,0.9953395172
0.07601713726,0.0509820394,0.1269991767
0.6539900722,0.1069968338,0.7609869061
0.818338192,0.8813229389,1.699661131
0.7061260548,0.09813397792,0.8042600327
0.2905648334,0.49726731,0.7878321434
0.4924191583,0.366491382,0.8589105404
0.2709032252,0.07512461956,0.3460278448
0.4471466087,0.9631205895,1.410267198
0.9511954233,0.406520737,1.35771616
0.6135679439,0.8354747148,1.449042659
0.4366965848,0.07122962297,0.5079262078
0.891966585,0.7028389602,1.594805545
0.6654047089,0.7853277101,1.450732419
0.3642246451,0.1358943518,0.5001189969
0.007312779681,0.4837848663,0.491097646
0.07975305014,0.3785346861,0.4582877362
